Date,Close
1975-05-19,837.69
1975-05-20,830.49
1975-05-21,818.68
1975-05-22,818.91
1975-05-23,831.9
1975-05-27,826.11
1975-05-28,817.04
1975-05-29,815.0
1975-05-30,832.29
1975-06-02,846.61
1975-06-03,846.14
1975-06-04,839.96
1975-06-05,842.15
1975-06-06,839.64
1975-06-09,830.1
1975-06-10,822.12
1975-06-11,824.55
1975-06-12,819.31
1975-06-13,824.47
1975-06-16,834.56
1975-06-17,828.61
1975-06-18,827.83
1975-06-19,845.35
1975-06-20,855.44
1975-06-23,864.83
1975-06-24,869.06
1975-06-25,872.73
1975-06-26,874.14
1975-06-27,873.12
1975-06-30,878.99
